,brand.id,brand.name,gender,hasSimilarProducts,id,images.cutOut,images.model,isCustomizable,merchandiseLabelField,merchantId,priceInfo.currencyCode,priceInfo.discountLabel,priceInfo.finalPrice,priceInfo.formattedFinalPrice,priceInfo.formattedInitialPrice,priceInfo.initialPrice,priceInfo.isOnSale,shortDescription,stockTotal,product_category,modelimageNames,cutOutImages_path,modelImages_path
0,8360,Miu Miu,women,True,13415450,https://cdn-images.farfetch-contents.com/13/41/54/50/13415450_17798955_300.jpg,https://cdn-images.farfetch-contents.com/13/41/54/50/13415450_17798961_300.jpg,False,NoTag,9359,SGD,0,1080,"$1,080","$1,080",1080,False,logo print strap sandals ,130,dep,13415450_17798961_300.jpg,../input/farfetch-listings/cutout-img/cutout/13415450_17798955_300.jpg,../input/farfetch-listings/model-img/model/13415450_17798961_300.jpg
1,2049368,Self-Portrait,women,True,13784566,https://cdn-images.farfetch-contents.com/13/78/45/66/13784566_17127306_300.jpg,https://cdn-images.farfetch-contents.com/13/78/45/66/13784566_17127308_300.jpg,False,NoTag,9319,SGD,20% Off,392,$392,$490,490,True,embroidered midi dress,14,vay,13784566_17127308_300.jpg,../input/farfetch-listings/cutout-img/cutout/13784566_17127306_300.jpg,../input/farfetch-listings/model-img/model/13784566_17127308_300.jpg
2,15514,Fendi,women,True,13377441,https://cdn-images.farfetch-contents.com/13/37/74/41/13377441_15308565_300.jpg,https://cdn-images.farfetch-contents.com/13/37/74/41/13377441_15308566_300.jpg,False,NoTag,9140,SGD,0,1245,"$1,245","$1,245",1245,False,FendiMania sock style sneakers,68,giaycode,13377441_15308566_300.jpg,../input/farfetch-listings/cutout-img/cutout/13377441_15308565_300.jpg,../input/farfetch-listings/model-img/model/13377441_15308566_300.jpg
3,49486,A.P.C.,women,False,13744082,https://cdn-images.farfetch-contents.com/13/74/40/82/13744082_16970243_300.jpg,https://cdn-images.farfetch-contents.com/13/74/40/82/13744082_16970244_300.jpg,False,NoTag,9031,SGD,20% Off,308,$308,$385,385,True,top zip wallet,1,vi,13744082_16970244_300.jpg,../input/farfetch-listings/cutout-img/cutout/13744082_16970243_300.jpg,../input/farfetch-listings/model-img/model/13744082_16970244_300.jpg
4,34624,Prada,women,True,13668256,https://cdn-images.farfetch-contents.com/13/66/82/56/13668256_16606024_300.jpg,https://cdn-images.farfetch-contents.com/13/66/82/56/13668256_16606027_300.jpg,False,NoTag,9339,SGD,0,1248,"$1,248","$1,248",1248,False,slingback 65 pumps,78,giaycaogot,13668256_16606027_300.jpg,../input/farfetch-listings/cutout-img/cutout/13668256_16606024_300.jpg,../input/farfetch-listings/model-img/model/13668256_16606027_300.jpg
5,120925,Pinko,women,False,13680038,https://cdn-images.farfetch-contents.com/13/68/00/38/13680038_17112797_300.jpg,https://cdn-images.farfetch-contents.com/13/68/00/38/13680038_17112798_300.jpg,False,NoTag,11619,SGD,30% Off,157,$157,$224,224,True,Love Bag shoulder wallet,6,vi,13680038_17112798_300.jpg,../input/farfetch-listings/cutout-img/cutout/13680038_17112797_300.jpg,../input/farfetch-listings/model-img/model/13680038_17112798_300.jpg
6,25354,Gucci,women,True,12562558,https://cdn-images.farfetch-contents.com/12/56/25/58/12562558_11923704_300.jpg,https://cdn-images.farfetch-contents.com/12/56/25/58/12562558_11923707_300.jpg,False,NoTag,10952,SGD,0,3740,"$3,740","$3,740",3740,False,Green Dionysus GG small velvet shoulder bag,61,tuixach,12562558_11923707_300.jpg,../input/farfetch-listings/cutout-img/cutout/12562558_11923704_300.jpg,../input/farfetch-listings/model-img/model/12562558_11923707_300.jpg
7,1025204,MCM,women,True,13768073,https://cdn-images.farfetch-contents.com/13/76/80/73/13768073_17573295_300.jpg,https://cdn-images.farfetch-contents.com/13/76/80/73/13768073_17573296_300.jpg,False,NoTag,9913,SGD,0,1323,"$1,323","$1,323",1323,False,logo print satchel,5,tuixach,13768073_17573296_300.jpg,../input/farfetch-listings/cutout-img/cutout/13768073_17573295_300.jpg,../input/farfetch-listings/model-img/model/13768073_17573296_300.jpg
8,25354,Gucci,women,False,12165273,https://cdn-images.farfetch-contents.com/12/16/52/73/12165273_10231090_300.jpg,https://cdn-images.farfetch-contents.com/12/16/52/73/12165273_10231098_300.jpg,False,NoTag,10952,SGD,0,810,$810,$810,810,False,GG Marmont Matelasse wallet,8,vi,12165273_10231098_300.jpg,../input/farfetch-listings/cutout-img/cutout/12165273_10231090_300.jpg,../input/farfetch-listings/model-img/model/12165273_10231098_300.jpg
9,1504165,Rejina Pyo,women,True,13777585,https://cdn-images.farfetch-contents.com/13/77/75/85/13777585_20148758_300.jpg,https://cdn-images.farfetch-contents.com/13/77/75/85/13777585_20148760_300.jpg,False,NewSeason,9359,SGD,0,989,$989,$989,989,False,Blake herringbone midi dress,16,vay,13777585_20148760_300.jpg,../input/farfetch-listings/cutout-img/cutout/13777585_20148758_300.jpg,../input/farfetch-listings/model-img/model/13777585_20148760_300.jpg
